;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;C;.;.;.;.;.;.;.;D;D;#;;
#;#;#;.;#;B;#;D;#;.;#;#;#;;20552
;;#;.;#;C;#;B;#;.;#;;;;
;;#;A;#;B;#;A;#;C;#;;;;
 ;;#;A;#;A;#;D;#;C;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;C;.;C;.;.;.;.;.;D;D;#;;
#;#;#;.;#;B;#;D;#;.;#;#;#;;21352
;;#;.;#;C;#;B;#;.;#;;;;
;;#;A;#;B;#;A;#;.;#;;;;
 ;;#;A;#;A;#;D;#;C;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;C;.;C;.;C;.;.;.;D;D;#;;
#;#;#;.;#;B;#;D;#;.;#;#;#;;22052
;;#;.;#;C;#;B;#;.;#;;;;
;;#;A;#;B;#;A;#;.;#;;;;
 ;;#;A;#;A;#;D;#;.;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;C;.;C;.;C;.;.;.;.;D;#;;
#;#;#;.;#;B;#;D;#;.;#;#;#;;27052
;;#;.;#;C;#;B;#;.;#;;;;
;;#;A;#;B;#;A;#;.;#;;;;
 ;;#;A;#;A;#;D;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;C;.;C;.;C;.;.;.;.;.;#;;
#;#;#;.;#;B;#;D;#;.;#;#;#;;32052
;;#;.;#;C;#;B;#;.;#;;;;
;;#;A;#;B;#;A;#;D;#;;;;
 ;;#;A;#;A;#;D;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;C;.;C;.;C;.;.;.;.;.;#;;
#;#;#;.;#;B;#;.;#;.;#;#;#;;37052
;;#;.;#;C;#;B;#;D;#;;;;
;;#;A;#;B;#;A;#;D;#;;;;
 ;;#;A;#;A;#;D;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;C;.;C;.;C;.;.;.;.;B;#;;
#;#;#;.;#;B;#;.;#;.;#;#;#;;37112
;;#;.;#;C;#;.;#;D;#;;;;
;;#;A;#;B;#;A;#;D;#;;;;
 ;;#;A;#;A;#;D;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;C;.;C;.;C;.;.;.;A;B;#;;
#;#;#;.;#;B;#;.;#;.;#;#;#;;37118
;;#;.;#;C;#;.;#;D;#;;;;
;;#;A;#;B;#;.;#;D;#;;;;
 ;;#;A;#;A;#;D;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;C;.;C;.;C;.;.;.;A;B;#;;
#;#;#;.;#;B;#;.;#;D;#;#;#;;44118
;;#;.;#;C;#;.;#;D;#;;;;
;;#;A;#;B;#;.;#;D;#;;;;
 ;;#;A;#;A;#;.;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;C;.;C;.;.;.;.;.;A;B;#;;
#;#;#;.;#;B;#;.;#;D;#;#;#;;44618
;;#;.;#;C;#;.;#;D;#;;;;
;;#;A;#;B;#;.;#;D;#;;;;
 ;;#;A;#;A;#;C;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;C;.;.;.;.;.;.;.;A;B;#;;
#;#;#;.;#;B;#;.;#;D;#;#;#;;45218
;;#;.;#;C;#;.;#;D;#;;;;
;;#;A;#;B;#;C;#;D;#;;;;
 ;;#;A;#;A;#;C;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;.;.;.;.;.;.;.;.;A;B;#;;
#;#;#;.;#;B;#;.;#;D;#;#;#;;45918
;;#;.;#;C;#;C;#;D;#;;;;
;;#;A;#;B;#;C;#;D;#;;;;
 ;;#;A;#;A;#;C;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;.;.;.;.;.;.;.;.;.;B;#;;
#;#;#;.;#;B;#;.;#;D;#;#;#;;45927
;;#;A;#;C;#;C;#;D;#;;;;
;;#;A;#;B;#;C;#;D;#;;;;
 ;;#;A;#;A;#;C;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;.;.;.;.;.;.;B;.;.;B;#;;
#;#;#;.;#;.;#;.;#;D;#;#;#;;45967
;;#;A;#;C;#;C;#;D;#;;;;
;;#;A;#;B;#;C;#;D;#;;;;
 ;;#;A;#;A;#;C;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;.;.;.;.;.;.;B;.;.;B;#;;
#;#;#;.;#;.;#;C;#;D;#;#;#;;46467
;;#;A;#;.;#;C;#;D;#;;;;
;;#;A;#;B;#;C;#;D;#;;;;
 ;;#;A;#;A;#;C;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;.;.;.;.;B;.;B;.;.;B;#;;
#;#;#;.;#;.;#;C;#;D;#;#;#;;46507
;;#;A;#;.;#;C;#;D;#;;;;
;;#;A;#;.;#;C;#;D;#;;;;
 ;;#;A;#;A;#;C;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;.;.;.;.;B;.;B;.;.;B;#;;
#;#;#;A;#;.;#;C;#;D;#;#;#;;46514
;;#;A;#;.;#;C;#;D;#;;;;
;;#;A;#;.;#;C;#;D;#;;;;
 ;;#;A;#;.;#;C;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;.;.;.;.;.;.;B;.;.;B;#;;
#;#;#;A;#;.;#;C;#;D;#;#;#;;46564
;;#;A;#;.;#;C;#;D;#;;;;
;;#;A;#;.;#;C;#;D;#;;;;
 ;;#;A;#;B;#;C;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;.;.;.;.;.;.;.;.;.;B;#;;
#;#;#;A;#;.;#;C;#;D;#;#;#;;46624
;;#;A;#;.;#;C;#;D;#;;;;
;;#;A;#;B;#;C;#;D;#;;;;
 ;;#;A;#;B;#;C;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;.;.;.;.;.;.;.;.;.;.;B;#;;
#;#;#;A;#;.;#;C;#;D;#;#;#;;46684
;;#;A;#;B;#;C;#;D;#;;;;
;;#;A;#;B;#;C;#;D;#;;;;
 ;;#;A;#;B;#;C;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;.;.;.;.;.;.;.;.;.;.;.;#;;
#;#;#;A;#;B;#;C;#;D;#;#;#;;46754
;;#;A;#;B;#;C;#;D;#;;;;
;;#;A;#;B;#;C;#;D;#;;;;
 ;;#;A;#;B;#;C;#;D;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
